Latitude,Longitude,Location,City,Country
51.47942,-0.293,"Royal Botanic Gardens, Kew, Brentford High Street, London, TW8 0DS, United Kingdom",London,United Kingdom
60.8655,7.11743,"5016, Nedre Brekkevegen, 5743 Flåm, Norway",,Norway
60.3925,5.34701,"Byfjellene, 5019 Bergen, Norway",Bergen,Norway
60.86542,7.11769,"5016, Nedre Brekkevegen, 5743 Flåm, Norway",,Norway
60.86469,7.119,"A-feltvegen, 5743 Flåm, Norway",,Norway
59.86933,10.71787,"Langøyene, German Bunker, 0252 Oslo, Norway",Oslo,Norway
51.51996,-0.09318,"Frobisher Crescent, Barbican, London, EC2Y 8HD, United Kingdom",London,United Kingdom
59.86905,10.71736,"Langøyene, German Bunker, 0252 Oslo, Norway",Oslo,Norway
60.39449,5.34263,"Martensgården, unnamed road, 5019 Bergen, Norway",Bergen,Norway
51.51952,-0.09428,"Defoe House, Lakeside Terrace, Barbican, London, EC2Y 8BD, United Kingdom",London,United Kingdom
51.4619,-0.02903,"Hilly Fields Crescent, London, SE4 1QA, United Kingdom",London,United Kingdom
51.50288,-0.20493,"Kyoto Garden, Abbotsbury Road, London, W14 8EL, United Kingdom",London,United Kingdom
60.39477,5.34239,"Martensgården, unnamed road, 5019 Bergen, Norway",Bergen,Norway
60.39358,5.34466,"Martensgården, Fløyfjellet, 5019 Bergen, Norway",Bergen,Norway
59.86895,10.71705,"Langøyene, German Bunker, 0252 Oslo, Norway",Oslo,Norway
51.13253,1.34426,"H.M. Coastguard, Upper Road, St. Margaret's at Cliffe, CT15 6HY, United Kingdom",,United Kingdom
60.65419,6.44386,"Nedkvitnesvegen 25, 5710 Skulestadmo, Norway",,Norway
51.49312,-0.0971,"The Tree House, Sayer Street, London, SE17 1FU, United Kingdom",London,United Kingdom
